epoch 2 [1160/1668], valid loss: 35.84
epoch 2 [1180/1668], valid loss: 36.22
epoch 2 [1200/1668], valid loss: 35.84
epoch 2 [1220/1668], valid loss: 35.65
epoch 2 [1240/1668], valid loss: 36.09
epoch 2 [1260/1668], valid loss: 36.22
epoch 2 [1280/1668], valid loss: 36.27
epoch 2 [1300/1668], valid loss: 35.83
epoch 2 [1320/1668], valid loss: 35.74
epoch 2 [1340/1668], valid loss: 36.08
epoch 2 [1360/1668], valid loss: 36.26
epoch 2 [1380/1668], valid loss: 36.42
epoch 2 [1400/1668], valid loss: 36.76
epoch 2 [1420/1668], valid loss: 37.04
epoch 2 [1440/1668], valid loss: 37.23
epoch 2 [1460/1668], valid loss: 37.57
epoch 2 [1480/1668], valid loss: 36.72
epoch 2 [1500/1668], valid loss: 35.97
epoch 2 [1520/1668], valid loss: 35.32
epoch 2 [1540/1668], valid loss: 35.55
epoch 2 [1560/1668], valid loss: 35.25
epoch 2 [1580/1668], valid loss: 34.95
epoch 2 [1600/1668], valid loss: 35.41
epoch 2 [1620/1668], valid loss: 35.84
epoch 2 [1640/1668], valid loss: 36.20
epoch 2 [1660/1668], valid loss: 35.99
Acc: tensor(0.6875)
epoch 3 [0/1668], valid loss: 35.73
epoch 3 [20/1668], valid loss: 35.18
epoch 3 [40/1668], valid loss: 35.71
epoch 3 [60/1668], valid loss: 36.08
epoch 3 [80/1668], valid loss: 36.43
epoch 3 [100/1668], valid loss: 36.30
epoch 3 [120/1668], valid loss: 35.96
epoch 3 [140/1668], valid loss: 35.43
epoch 3 [160/1668], valid loss: 35.12
epoch 3 [180/1668], valid loss: 35.27
epoch 3 [200/1668], valid loss: 35.72
epoch 3 [220/1668], valid loss: 35.49
epoch 3 [240/1668], valid loss: 35.60
epoch 3 [260/1668], valid loss: 35.96
epoch 3 [280/1668], valid loss: 35.56
epoch 3 [300/1668], valid loss: 35.94
epoch 3 [320/1668], valid loss: 36.18
epoch 3 [340/1668], valid loss: 35.67
epoch 3 [360/1668], valid loss: 34.86
epoch 3 [380/1668], valid loss: 34.82
epoch 3 [400/1668], valid loss: 35.38
epoch 3 [420/1668], valid loss: 35.55
epoch 3 [440/1668], valid loss: 35.55
epoch 3 [460/1668], valid loss: 35.40
epoch 3 [480/1668], valid loss: 34.93
epoch 3 [500/1668], valid loss: 34.93
epoch 3 [520/1668], valid loss: 34.66
epoch 3 [540/1668], valid loss: 34.74
epoch 3 [560/1668], valid loss: 35.19
epoch 3 [580/1668], valid loss: 36.26
epoch 3 [600/1668], valid loss: 35.42
epoch 3 [620/1668], valid loss: 36.01
epoch 3 [640/1668], valid loss: 35.59
epoch 3 [660/1668], valid loss: 34.95
epoch 3 [680/1668], valid loss: 35.13
epoch 3 [700/1668], valid loss: 34.65
epoch 3 [720/1668], valid loss: 34.55
epoch 3 [740/1668], valid loss: 34.19
